Period	Specialty	Procedure	Provider	Zone	Facility	Year	Quarter	Consult_Median	Consult_90th	Surgery_Median	Surgery_90th
12month_rolling	Urology	Adrenal Surgery	"Rendon, Ricardo"					8	17	104	145
12month_rolling	Urology	Adrenal Surgery		Zone 4	QE2	2016	4	9	17	49	140
12month_rolling	Urology	Adrenal Surgery		Total	Provincial	2016	4	11	21	49	145
12month_rolling	Plastic Surgery	Aesthetic Surgery	"Boileau, Louis"					88	163	36	67
12month_rolling	Plastic Surgery	Aesthetic Surgery	"Bezuhly, Michael"					61	129	213	377
12month_rolling	Plastic Surgery	Aesthetic Surgery	"Brennan, Michael"					136	274	109	279
12month_rolling	Plastic Surgery	Aesthetic Surgery	"Hayden, David"					37	37	208	294
12month_rolling	Plastic Surgery	Aesthetic Surgery	"Morris, Steven F"							101	134
12month_rolling	Plastic Surgery	Aesthetic Surgery	"Atiyah, Abdulrazzak O"					13	97	48	152
12month_rolling	Plastic Surgery	Aesthetic Surgery		Zone 3	Cape Breton Regional	2016	4			60	152
12month_rolling	Plastic Surgery	Aesthetic Surgery		Zone 4	QE2	2016	4	130	572	54	134
12month_rolling	Plastic Surgery	Aesthetic Surgery		IWK	IWK	2016	4	57	94	188	335
12month_rolling	Plastic Surgery	Aesthetic Surgery		Zone 3	New Waterford	2016	4	10	97	22	147
12month_rolling	Plastic Surgery	Aesthetic Surgery		Total	Provincial	2016	4	50	362	76	294
12month_rolling	Plastic Surgery	Aesthetic Surgery		Zone 1	South Shore Regional	2016	4	37	163	63	242
12month_rolling	Plastic Surgery	Aesthetic Surgery		Zone 3	St. Marthas Regional	2016	4	109	274	109	279
2014_q4	Plastic Surgery	Aesthetic Surgery		Total	Provincial	2014	4	50	568	74	154
2015_q1	Plastic Surgery	Aesthetic Surgery		Total	Provincial	2015	1	25	340	60	129
2015_q2	Plastic Surgery	Aesthetic Surgery		Total	Provincial	2015	2	48	196	29	188
2015_q3	Plastic Surgery	Aesthetic Surgery		Total	Provincial	2015	3	87	303	57	251
2015_q4	Plastic Surgery	Aesthetic Surgery		Total	Provincial	2015	4	64	152	74	222
2016_q1	Plastic Surgery	Aesthetic Surgery		Total	Provincial	2016	1	57	269	58	231
2016_q2	Plastic Surgery	Aesthetic Surgery		Total	Provincial	2016	2	60	274	77	315
2016_q3	Plastic Surgery	Aesthetic Surgery		Total	Provincial	2016	3	36	109	54	213
2016_q4	Plastic Surgery	Aesthetic Surgery		Total	Provincial	2016	4	45	390	84	222
12month_rolling	Cardiac Surgery	All	"Herman, Christine"					36	127	22	71
12month_rolling	Cardiac Surgery	All	"Rebeyka, Ivan"							34	46
12month_rolling	Cardiac Surgery	All	"Ross, David"							41	125
12month_rolling	Cardiac Surgery	All	"Hirsch, Gregory M"							27	86
12month_rolling	Cardiac Surgery	All	"Wood, Jeremy R"					7	30	35	91
12month_rolling	Cardiac Surgery	All	"Ali, Idris M"					98	98	21	59
12month_rolling	Cardiac Surgery	All	"Sullivan, John A"							5	7
12month_rolling	Cardiac Surgery	All	"Stewart, Keir Marshall"					1	1	15	65
12month_rolling	Cardiac Surgery	All	"Gandhi, Sanjiv"					35	35	62	125
12month_rolling	Cardiac Surgery	All	"Baskett, Roger J"							14	73
12month_rolling	Dental	All	"Laureijs, John"					5	29	84	124
12month_rolling	Dental	All	"Briand, Beth"					43	105	85	127
12month_rolling	Dental	All	"Anderson, Ross"					184	515	106	406
12month_rolling	Dental	All	"Bourque, Susan"					28	61	73	210
12month_rolling	Dental	All	"Dakin, Todd"					9	11	195	361
12month_rolling	Dental	All	"Knickle, Kelly A"							146	296
12month_rolling	Dental	All	"O'Joleck, Michael"					41	71	113	211
12month_rolling	Dental	All	"MacIntosh, Alan B"					17	34	56	145
12month_rolling	Dental	All	"MacLellan, Jennifer"					262	657	128	375
12month_rolling	Dental	All	"Doyle, Ian M"							134	386
12month_rolling	Dental	All	"Hurst, Mary"					19	73	18	75
12month_rolling	Dental	All	"Brown, Charlotte"							179	448
12month_rolling	Dental	All	"McCarvill, Michael R"					294	294	89	143
12month_rolling	Dental	All	"Doyle, Tracy"					203	491	87	364
12month_rolling	Dental	All	"Hughes, Stacey"					33	56	57	108
12month_rolling	Dental	All	"Mello, Isabel"					15	15	59	159
12month_rolling	Dental	All	"Macdonald, Stuart A"					4	4	239	399
12month_rolling	Dental	All	"Albert, Daniel N"							36	73
