Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
12month_rolling,,Male Reproductive System Surgery,,Total,Provincial,2017,3,40,168,69,231
2016_q1,,Bowel Resection - Open,,Zone 4,Dartmouth General,2016,1,22,64,66,100
2016_q4,,Knee Scope,,Zone 3,Cape Breton Regional,2016,4,21,55,39,67
2017_q1,,Cystoscopy,,Zone 3,Inverness Consolidated Memorial,2017,1,22,52,26,64
12month_rolling,Ophthalmology,All,"Hammel,  Kenneth",,,,,91,139,180,209
2016_q3,,Pilonidal Cyst Surgery,,Total,Provincial,2016,3,120,228,69,160
2016_q3,,Hip Arthroscopy,,Zone 4,Dartmouth General,2016,3,68,173,61,221
2015_q4,,Melanoma Excision,,Zone 4,QE2,2015,4,11,16,13,28
12month_rolling,Otolaryngology (ENT),Ear Tubes  (Pediatric),"Smith, Andrew Neil",,,,,103,137,63,180
12month_rolling,Urology,Kidney Stone Surgery,"Bailly, Greg G",,,,,43,201,65,154
2016_q4,,Hernia Repair - Incisional,,Total,Provincial,2016,4,36,186,67,259
12month_rolling,,Temporal Artery Biopsy,,Total,Provincial,2017,3,,,6,33
12month_rolling,Orthopaedic,Knee Scope,"Sequeira, Stanislaus",,,,,95,540,79,190
2015_q4,,Knee Scope with ACL Repair,,Zone 4,QE2,2015,4,46,249,174,415
12month_rolling,General Surgery,Gallbladder Surgery,"Pillai, Neelakantan G.",,,,,24,33,36,55
2015_q2,,Hernia Repair - Umbilical,,Zone 1,South Shore Regional,2015,2,19,34,,
2016_q3,,Peritoneal Lavage or Catherization,,Total,Provincial,2016,3,,,22,48
2015_q2,,Thyroid or Parathyroid Surgery,,Zone 3,Cape Breton Regional,2015,2,,,61,245
12month_rolling,Urology,All,"Butler, Trevor",,,,,4,31,38,183
2015_q3,,Hysteroscopy,,Total,Provincial,2015,3,37,127,48,96
2016_q3,,Hysteroscopy,,Zone 4,Dartmouth General,2016,3,28,60,32,59
2015_q4,,Cervical Spine (Neck) Surgery,,Total,Provincial,2015,4,60,414,50,193
2016_q2,,Gastric Surgery,,IWK,IWK,2016,2,,,27,51
2015_q2,,Prostate Cancer Surgery,,Zone 4,QE2,2015,2,17,48,48,125
2016_q3,,Shoulder Arthroplasty,,Total,Provincial,2016,3,76,412,180,488
3month_rolling,,Tubal Ligation,,IWK,IWK,2017,3,117,169,,
2017_q2,,Hernia Repair - Inguinal/Femoral,,Zone 4,QE2,2017,2,58,105,65,108
12month_rolling,General Surgery,Gastrointestinal Tract Surgery - Laparoscopic,"Lapierre, Stephanie",,,,,14,57,21,32
2017_q1,,Tendon / Ligament Repair,,Total,Provincial,2017,1,62,229,47,221
2015_q2,,Bone / Cartilage Graft,,Zone 1,South Shore Regional,2015,2,14,105,79,144
2016_q1,,Cardiovascular Surgery,,Zone 4,QE2,2016,1,,,37,93
12month_rolling,Otolaryngology (ENT),All,"Hart, Robert D",,,,,27,300,65,692
2015_q4,,Thyroid or Parathyroid Surgery,,Total,Provincial,2015,4,33,106,84,482
2017_q1,,Cystoscopy,,Zone 3,Northside General,2017,1,31,172,30,135
12month_rolling,Thoracic Surgery,Lung Surgery,"Henteleff, Harry J",,,,,29,46,43,71
2015_q2,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 3,St. Marthas Regional,2015,2,14,106,140,213
2015_q4,,Dental Extractions and Restorations  (Pediatric),,Zone 1,South Shore Regional,2015,4,34,77,63,177
12month_rolling,General Surgery,Hernia Repair  (Adult),"Nader, Nabil",,,,,15,62,29,64
2016_q3,,Endarterectomy,,Zone 4,QE2,2016,3,24,77,24,90
2016_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 3,St. Marthas Regional,2016,4,69,178,74,204
12month_rolling,Obstetrics/Gynaecology,All,"Lee, Winifred W",,,,,,,54,158
12month_rolling,,Cornea and External Disease,,Zone 4,QE2,2017,3,124,251,49,133
2017_q1,,Breast Cancer Surgery,,Zone 1,South Shore Regional,2017,1,14,64,13,26
2015_q2,,Cardiac Valve Replacement,,Total,Provincial,2015,2,,,52,135
2015_q3,,Vascular Bypass Surgery,,Zone 1,Valley Regional,2015,3,,,96,184
12month_rolling,,Knee Replacement - Partial,,Zone 4,QE2,2017,3,69,105,133,204
2016_q3,,Liver Surgery,,Zone 4,QE2,2016,3,14,37,22,41
2016_q2,,Cataract Surgery,,Zone 4,QE2,2016,2,127,294,90,238
12month_rolling,Orthopaedic,Knee Scope,"Clarke, Gregory",,,,,75,205,141,280
2016_q2,,Sacral Nerve Stimulation,,Total,Provincial,2016,2,,,85,335
2016_q1,,Nissen Fundoplication - Laparoscopic,,Total,Provincial,2016,1,41,98,86,210
2015_q3,,Tubal Ligation,,Zone 1,Valley Regional,2015,3,33,47,91,165
2016_q3,,Lacrimal Duct Probing,,Total,Provincial,2016,3,,,172,279
12month_rolling,,Foot - Osteotomy,,Total,Provincial,2017,3,100,419,102,366
2015_q4,,Tonsillectomy and/or Adenoidectomy  (Adult),,Zone 3,Cape Breton Regional,2015,4,53,299,43,140
12month_rolling,Obstetrics/Gynaecology,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),"Abutu, Natheniel",,,,,41,74,47,65
2016_q4,,Sacral Nerve Stimulation,,Zone 4,QE2,2016,4,,,55,139
2016_q4,,Cataract Surgery,,Zone 4,QE2,2016,4,99,320,82,230
12month_rolling,,Hernia Repair - Umbilical,,Zone 1,Yarmouth Regional,2017,3,42,105,61,129
2016_q2,,Carpal Tunnel Surgery,,Zone 1,Valley Regional,2016,2,109,255,146,226
2016_q1,,Knee Replacement Revision,,Zone 4,QE2,2016,1,,,76,556
12month_rolling,Ophthalmology,All,"Seamone, Christopher",,,,,106,468,33,128
2016_q4,,Breast Reduction Surgery,,Zone 4,QE2,2016,4,,,126,205
2016_q1,,Colorectal Cancer Surgery,,Zone 3,Cape Breton Regional,2016,1,15,27,13,24
12month_rolling,,Hernia Repair - Ventral,,Zone 1,South Shore Regional,2017,3,13,161,16,31
2015_q3,,Hemorrhoidectomy,,Total,Provincial,2015,3,73,178,59,236
12month_rolling,Orthopaedic,Hip Replacement Revision,"Orrell, Kevin G",,,,,167,169,49,110
12month_rolling,Obstetrics/Gynaecology,Tubal Ligation,"Sandland, Helen",,,,,29,46,38,77
2017_q2,,Hysterectomy  (Cancer Not Suspected),,IWK,IWK,2017,2,94,231,78,228
2017_q2,,Laryngology and Vocal Cord Surgery,,Zone 1,Valley Regional,2017,2,23,37,,
12month_rolling,Urology,Cystoscopy,"Lawen, Joseph G",,,,,43,167,43,115
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Ellsmere, James C",,,,,126,126,21,30
3month_rolling,,Hysterectomy  (Cancer Not Suspected),,Zone 1,Yarmouth Regional,2017,3,28,92,33,82
2015_q2,,Bowel Resection,,Zone 2,Colchester East Hants Health Centre,2015,2,25,106,38,52
2015_q3,,Hernia Repair  (Adult),,Zone 1,South Shore Regional,2015,3,14,102,24,53
12month_rolling,Urology,Male Circumcision  (Adult),"Massaro, Peter",,,,,14,28,21,75
2015_q2,,Internal Defib Insertion / Loop Recorder,,Total,Provincial,2015,2,,,20,60
12month_rolling,Urology,All,"Bell, David G",,,,,33,181,29,104
2015_q2,,Male Reproductive System Surgery,,Zone 2,Cumberland Regional,2015,2,37,95,48,200
12month_rolling,Orthopaedic,Knee Scope,"Hewins, Edward",,,,,57,217,75,494
12month_rolling,Plastic Surgery,Palmar Fascia Excision for Dupuytren's Disease,"Tang, David T",,,,,91,197,26,48
2017_q1,,Hip Replacement Revision,,Total,Provincial,2017,1,79,431,64,108
2015_q2,,Hernia Repair  (Adult),,Zone 3,Glace Bay,2015,2,53,203,114,207
