Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
2016_q4,,Knee Scope,,Zone 3,Cape Breton Regional,2016,4,21,52,39,67
2017_q1,,Cystoscopy,,Zone 3,Inverness Consolidated Memorial,2017,1,25,52,26,64
2016_q3,,Pilonidal Cyst Surgery,,Total,Provincial,2016,3,121,228,69,160
2016_q3,,Hip Arthroscopy,,Zone 4,Dartmouth General,2016,3,68,173,61,221
2017_q3,,Male Reproductive System Surgery,,Zone 4,Dartmouth General,2017,3,35,65,104,324
2016_q3,,Hysteroscopy,,Zone 4,Dartmouth General,2016,3,28,60,30,59
2017_q4,,Sacral Nerve Stimulation,,Total,Provincial,2017,4,70,578,98,150
2017_q2,,Hernia Repair - Inguinal/Femoral,,Zone 4,QE2,2017,2,58,105,65,135
2017_q1,,Cystoscopy,,Zone 3,Northside General,2017,1,23,175,30,135
2016_q3,,Endarterectomy,,Zone 4,QE2,2016,3,31,77,23,90
2017_q1,,Breast Cancer Surgery,,Zone 1,South Shore Regional,2017,1,14,64,13,26
2016_q3,,Liver Surgery,,Zone 4,QE2,2016,3,14,37,21,41
2016_q3,,Lacrimal Duct Probing,,Total,Provincial,2016,3,147,288,172,279
2016_q4,,Sacral Nerve Stimulation,,Zone 4,QE2,2016,4,1,558,55,139
2017_q4,,Colorectal Cancer Surgery,,Total,Provincial,2017,4,19,97,25,57
2016_q4,,Breast Reduction Surgery,,Zone 4,QE2,2016,4,,,126,205
2017_q3,,Amputations,,Total,Provincial,2017,3,27,133,19,92
2017_q1,,Hip Replacement Revision,,Total,Provincial,2017,1,90,431,62,108
2016_q4,,Cornea and External Disease,,Zone 4,QE2,2016,4,82,217,68,549
2016_q4,,Hernia Repair  (Adult),,Zone 1,Yarmouth Regional,2016,4,30,55,44,175
2017_q4,,Bowel Resection,,Zone 1,Valley Regional,2017,4,20,53,34,58
2017_q1,,Spinal Cord Stimulation Surgery,,Total,Provincial,2017,1,,,22,86
2017_q4,,Back Surgery  (Pediatric),,Total,Provincial,2017,4,,,101,336
2017_q2,,Hysteroscopy,,Zone 1,South Shore Regional,2017,2,23,60,30,43
2016_q3,,Septoplasty,,Zone 4,Dartmouth General,2016,3,156,396,113,261
2017_q1,,Surgery for Hearing or Balance Problems of the Ear,,IWK,IWK,2017,1,40,96,40,131
2017_q3,,Colorectal Cancer Surgery,,Zone 4,Dartmouth General,2017,3,24,42,27,49
2017_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 3,Cape Breton Regional,2017,2,32,91,41,126
2017_q4,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 3,St. Marthas Regional,2017,4,23,228,25,73
2017_q2,,Lung Cancer Surgery,,Total,Provincial,2017,2,22,42,39,65
2016_q3,,Dental Extractions and Restorations  (Pediatric),,Total,Provincial,2016,3,41,336,92,364
2018_q1,,Palmar Fascia Excision for Dupuytren's Disease,,Zone 1,South Shore Regional,2018,1,35,57,64,181
2017_q1,,Breast Cancer Surgery,,Zone 3,St. Marthas Regional,2017,1,9,40,27,48
2017_q1,,Cardiovascular Surgery,,Zone 4,QE2,2017,1,,,13,62
2016_q3,,Hysteroscopy,,Zone 1,Valley Regional,2016,3,48,99,47,89
2017_q3,,Tubal Ligation,,Total,Provincial,2017,3,61,167,68,133
2016_q4,,Tonsillectomy and/or Adenoidectomy  (Adult),,Zone 4,Dartmouth General,2016,4,35,172,167,345
2017_q3,,Prostate Cancer Surgery,,Total,Provincial,2017,3,15,73,56,116
2017_q4,,Hernia Repair - Inguinal/Femoral,,Zone 1,Valley Regional,2017,4,55,110,41,114
2016_q4,,Dental Extractions and Restorations  (Adult),,Zone 3,New Waterford,2016,4,,,79,177
2016_q4,,Vitreoretinal Diseases,,Total,Provincial,2016,4,18,81,20,123
2016_q3,,Hemorrhoidectomy,,Total,Provincial,2016,3,96,152,80,189
2016_q3,,Knee Scope,,Zone 3,Cape Breton Regional,2016,3,56,88,23,105
2017_q3,,Bowel Resection,,Zone 1,Yarmouth Regional,2017,3,17,68,17,46
2017_q2,,Hysteroscopy,,Zone 3,St. Marthas Regional,2017,2,56,160,113,195
2017_q1,,Brain Surgery  (Adult),,Total,Provincial,2017,1,30,268,44,158
2017_q3,,Coronary Artery Bypass Graft,,Total,Provincial,2017,3,,,9,41
2017_q1,,Insertion Vascular Access Catheter,,Total,Provincial,2017,1,7,45,16,56
2016_q4,,Cataract Surgery,,Zone 2,Cumberland Regional,2016,4,47,63,39,84
2017_q1,,Knee Scope,,Zone 4,Hants Community Hospital,2017,1,160,382,35,117
2016_q3,,Hip Replacement,,Zone 4,Dartmouth General,2016,3,221,241,567,891
2016_q3,,Hernia Repair - Inguinal/Femoral,,Zone 1,Yarmouth Regional,2016,3,33,65,75,148
2017_q4,,Hysteroscopy,,IWK,IWK,2017,4,55,167,57,127
2016_q3,,Cataract Surgery,,Zone 2,Aberdeen Hospital,2016,3,98,120,153,173
2017_q4,,Endometrial Ablation,,Total,Provincial,2017,4,39,177,45,127
2017_q1,,Hernia Repair - Umbilical,,Zone 2,Colchester East Hants Health Centre,2017,1,51,85,78,126
2018_q1,,Cardiovascular Surgery,,Zone 4,QE2,2018,1,,,15,40
2016_q3,,Bowel Resection,,Zone 1,Valley Regional,2016,3,17,59,31,65
2018_q1,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 3,St. Marthas Regional,2018,1,14,33,,
2017_q1,,Cardiovascular Surgery,,Total,Provincial,2017,1,,,14,62
2016_q3,,Shoulder Arthroscopy,,Zone 3,Cape Breton Regional,2016,3,23,92,34,86
2018_q1,,Cystoscopy,,Zone 1,South Shore Regional,2018,1,18,121,34,112
2018_q1,,Cataract Surgery,,Zone 1,Yarmouth Regional,2018,1,64,102,131,158
2017_q1,,Hernia Repair  (Pediatric),,IWK,IWK,2017,1,21,41,31,169
2017_q1,,Lung Cancer Surgery,,Total,Provincial,2017,1,21,56,45,76
2018_q1,,Bowel Resection - Open,,Zone 3,Cape Breton Regional,2018,1,,,20,47
2016_q3,,Knee Scope,,Zone 1,Yarmouth Regional,2016,3,97,357,166,385
2017_q3,,Nerve Surgery,,Zone 4,QE2,2017,3,52,233,52,253
2017_q2,,Hernia Repair  (Adult),,Zone 3,Glace Bay,2017,2,51,140,38,119
2017_q3,,Breast Cancer Surgery,,Zone 2,Aberdeen Hospital,2017,3,3,18,26,64
2017_q3,,ERCP,,Total,Provincial,2017,3,,,3,5
2017_q1,,Gallbladder Surgery,,Zone 2,Cumberland Regional,2017,1,22,42,37,83
2017_q1,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 3,Cape Breton Regional,2017,1,14,50,18,41
2017_q4,,Ear Tubes  (Pediatric),,Zone 1,Yarmouth Regional,2017,4,,,42,162
2017_q1,,Colorectal Cancer Surgery,,Zone 1,Valley Regional,2017,1,11,72,32,69
2017_q2,,Ear Tubes  (Pediatric),,IWK,IWK,2017,2,43,117,43,96
2017_q2,,Breast Cancer Surgery,,Zone 1,Yarmouth Regional,2017,2,,,21,28
2017_q2,,Bowel Resection - Laparoscopic,,Zone 3,St. Marthas Regional,2017,2,10,56,56,77
2016_q4,,Ear Tubes  (Pediatric),,IWK,IWK,2016,4,53,173,40,124
2016_q4,,Foot - Arthroplasty,,Total,Provincial,2016,4,78,343,,
2017_q2,,Hernia Repair - Laparoscopic Ventral,,Total,Provincial,2017,2,,,65,128
2016_q4,,Nissen Fundoplication - Laparoscopic,,Total,Provincial,2016,4,54,196,83,287
2016_q4,,Colorectal Cancer Surgery,,Total,Provincial,2016,4,18,112,23,48
2017_q3,,Cataract Surgery,,Zone 2,Cumberland Regional,2017,3,43,57,97,127
2017_q1,,Colorectal Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2017,1,26,97,32,74
2016_q3,,Endometrial Ablation,,Zone 1,South Shore Regional,2016,3,,,31,63
2016_q4,,Colorectal Cancer Surgery,,Zone 3,Cape Breton Regional,2016,4,9,48,21,29
2018_q1,,Insertion Vascular Access Catheter,,Zone 1,Yarmouth Regional,2018,1,,,7,20
2017_q1,,Bladder Cancer Surgery,,Zone 4,QE2,2017,1,14,134,34,69
2017_q1,,Pancreas Surgery,,Zone 4,QE2,2017,1,14,27,50,240
2017_q1,,Hernia Repair  (Adult),,Zone 4,Hants Community Hospital,2017,1,78,134,76,189
2016_q4,,Back Surgery  (Pediatric),,Total,Provincial,2016,4,,,182,363
2018_q1,,Gastrointestinal Tract Surgery,,Zone 1,Yarmouth Regional,2018,1,,,29,111
2016_q3,,Esophagectomy / Esophageal Surgery,,Total,Provincial,2016,3,,,69,118
2017_q2,,Shoulder Arthroplasty,,Total,Provincial,2017,2,56,285,179,387
2017_q4,,Dental Extractions and Restorations  (Pediatric),,Zone 2,Aberdeen Hospital,2017,4,,,77,140
2018_q1,,Prostate Surgery,,Zone 3,Northside General,2018,1,22,43,22,43
2017_q3,,Hernia Repair  (Adult),,Zone 1,South Shore Regional,2017,3,13,203,26,64
2017_q1,,Cystoscopy,,Zone 4,Dartmouth General,2017,1,29,73,55,113
2016_q3,,Hernia Repair - Ventral,,Total,Provincial,2016,3,24,98,75,127
2018_q1,,Ankle - Arthrodesis,,Total,Provincial,2018,1,,,131,345
2018_q1,,Cataract Surgery,,Zone 1,Soldiers Memorial,2018,1,96,126,160,274
2016_q4,,Gallbladder Surgery,,Zone 2,Colchester East Hants Health Centre,2016,4,20,62,49,100
2017_q2,,Thyroid or Parathyroid Surgery,,Zone 2,Cumberland Regional,2017,2,55,101,62,144
2016_q3,,Palmar Fascia Excision for Dupuytren's Disease,,Total,Provincial,2016,3,31,372,48,342
2017_q4,,Knee Scope,,Zone 3,New Waterford,2017,4,81,195,28,100
2016_q3,,Strabismus Surgery  (Adult),,Total,Provincial,2016,3,539,728,202,316
2017_q3,,Cornea and External Disease,,Zone 4,QE2,2017,3,115,155,36,102
2016_q4,,Ear Tubes  (Pediatric),,Zone 1,Valley Regional,2016,4,52,98,52,246
2017_q2,,Cardiovascular Surgery,,Zone 4,QE2,2017,2,,,12,50
2018_q1,,Hysteroscopy,,Zone 1,South Shore Regional,2018,1,16,43,29,99
2017_q2,,Knee Scope,,Zone 2,Aberdeen Hospital,2017,2,85,437,60,126
2018_q1,,Bladder Cancer Surgery,,Zone 4,QE2,2018,1,17,41,29,97
2017_q1,,Hernia Repair - Inguinal/Femoral,,Zone 1,Valley Regional,2017,1,23,64,36,181
2017_q2,,Gastric Surgery - Laparoscopic,,Zone 4,QE2,2017,2,60,212,153,349
2017_q4,,Bone / Cartilage Graft,,Total,Provincial,2017,4,30,64,86,202
2016_q4,,Bariatric Surgery (for Weight Loss),,Total,Provincial,2016,4,1720,2474,38,104
2016_q3,,Knee Scope,,Total,Provincial,2016,3,63,244,81,290
2016_q3,,Foot - Arthroplasty,,Total,Provincial,2016,3,78,133,,
2017_q3,,Male Reproductive System Surgery,,Zone 3,Cape Breton Regional,2017,3,54,331,38,138
2018_q1,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 4,QE2,2018,1,173,196,80,269
2018_q1,,Back Surgery  (Pediatric),,IWK,IWK,2018,1,,,124,274
2016_q3,,Hernia Repair - Inguinal/Femoral,,Zone 3,Cape Breton Regional,2016,3,109,477,25,151
2017_q4,,Bariatric Surgery (for Weight Loss),,Zone 4,QE2,2017,4,92,1829,29,41
2016_q3,,Cervical Spine (Neck) Surgery,,Zone 4,QE2,2016,3,55,164,57,178
2017_q3,,Male Reproductive System Surgery,,Zone 1,Valley Regional,2017,3,,,148,396
2016_q3,,Dental Extractions and Restorations  (Adult),,Zone 3,New Waterford,2016,3,,,177,382
2017_q3,,Back Surgery  (Pediatric),,Total,Provincial,2017,3,,,157,265
